Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Calisthenics duration (ms),Hiking duration (ms),Sleep duration (ms)
2018-06-17,1223.0461263241903,2609.6695082187653,22.24458122253418,84.870361328125,22.256195068359375,84.91126251220703,1.3117035530215069,1.4395736455917358,0.2690722346305847,5770,,,,,81240475,3277969,,,
2018-06-18,1258.9756202395804,3642.2284423410892,22.2513427734375,84.90062713623047,22.256011962890625,84.90663146972656,0.600149574950849,1.7303204536437988,0.25887274742126465,6293,,,,,81014464,4604332,,,
2018-06-19,1355.9855074133684,8260.414971262217,22.251686096191406,84.900390625,22.25588607788086,84.91272735595703,0.8883831500811078,4.427545070648193,0.2815582752227783,13230,,,,,76618355,8185517,,,
2018-06-20,1536.069585534321,9480.770058691502,22.24947738647461,84.90036010742188,22.256200790405273,84.91314697265625,0.851807874573392,2.031120777130127,0.25138765573501587,16624,,,,,70614922,14832480,,,
2018-06-21,1615.7861062716795,15368.753864176571,22.247020721435547,84.89845275878906,22.25588607788086,84.9109115600586,0.8457261549945949,2.7159950733184814,0.04062468558549881,26380,,,,,67010661,17776229,,,
2018-06-22,1260.1585590018578,2486.8824733495712,22.223299026489258,84.84053039550781,22.255767822265625,84.91351318359375,0.5135514732146623,1.5914114713668823,0.21311596035957336,4404,,,,,78086700,4647998,,,
2018-06-23,1403.012454967362,9221.431691862643,22.2458438873291,84.89486694335938,22.256200790405273,84.91314697265625,0.645987968687378,3.189507007598877,0.26278772950172424,14140,,,,192230,74037276,9714296,,,
2018-06-24,1519.3268712032805,14895.30401980877,22.223466873168945,84.8615493774414,22.26384925842285,84.91166687011719,0.7228748034024226,34.03506088256836,0.25232744216918945,13929,,,,1021479,71556787,12048514,,,
2018-06-25,1312.0933568410296,3836.946835577488,22.251453399658203,84.89016723632812,22.258995056152344,84.91194915771484,0.867581587778413,2.1567044258117676,0.2163643091917038,6647,,,,,79156061,6565209,,,
2018-06-26,1245.7934037093733,2797.4575233459473,22.251779556274414,84.89016723632812,22.258995056152344,84.90593719482422,0.7812523802174792,1.5894774198532104,0.2815582752227783,5117,,,,,80529814,4118963,,,
2018-06-27,1324.148347708125,5901.034440755844,22.25133514404297,84.90056610107422,22.256200790405273,84.9104232788086,0.5521278311509232,1.9484907388687134,0.09646307677030563,9773,,,,,78742776,7008747,,,
2018-06-28,1496.9054044164102,9334.03436037898,22.22467803955078,84.85179138183594,22.255870819091797,84.90982818603516,0.650400869962387,1.661157250404358,0.01900208368897438,16513,,,,,68814539,14365269,,,
2018-06-29,1450.4832945169976,9211.165258288383,22.222578048706055,84.8221206665039,22.59501075744629,88.3758316040039,0.716548910245886,3.47916316986084,0.06445755809545517,15452,,,,,47436883,11673968,,,
2018-06-30,1252.5095627262235,886.7534673213959,22.554162979125977,88.37545013427734,22.554777145385742,88.37639617919922,0.37765197321665656,0.8746907711029053,0.2444196343421936,2977,,,,,80790540,4365632,,,
2018-07-01,1274.0653567516495,6518.955195307732,22.466012954711914,88.36217498779297,22.598873138427734,88.41809844970703,1.0688513104585342,12.460000038146973,0.07752712070941925,3668,,,,1131080,72108069,3921251,,,
2018-07-02,1518.545746713663,5312.2012455016375,22.5369930267334,88.35089874267578,22.57390022277832,88.38118743896484,0.7502662045164773,11.869999885559082,0.0,9772,,,,,67093252,14186534,,,
